CustomerID,Gender,Age,Country,City,BranchID,BranchName,LastPurchaseDate,TotalTransactions,TotalSpent,Currency,PaymentType,CreditLimit
884814508,Male,38,Canada,Toronto,BR-007,Arpand Toronto (Canada),2024-10-02,3,1139.520646100069,EUR,Credit,2650.6405886809043
8682766939,Male,150,Singapore,Singapore,BR-004,Arpand Singapore (Singapore),2023-03-29,3,1505.2576424032632,EUR,Credit,5628.109945722505
5566395633,Male,56,Germany,Jasonburgh,BR-001,Arpand Berlin (Germany),2024-09-10,2,1047.5628921585683,USDT,Instant,
7357367884,Male,53,Singapore,Singapore,BR-004,Arpand Singapore (Singapore),2024-10-09,2,1332.327171374926,USD,Credit,8580.562971354986
3645110122,Female,65,Singapore,Singapore,BR-004,Arpand Singapore (Singapore),2024-10-04,5,1392.7660622491226,GBP,Instant,
8952227123,Male,41,Invalid_Country,Tokyo,BR-005,Arpand Tokyo (Japan),2025-02-08,5,2328.0050456360214,GBP,Credit,9234.637079894026
290288533,Female,40,Germany,Berlin,BR-001,Arpand Berlin (Germany),2023-06-01,5,1475.00269775359,EUR,Instant,
410956561,Female,150,South Africa,Cape Town,BR-003,Arpand Cape Town (South Africa),2024-02-01,3,1863.258234287682,USD,Instant,
1779486315,Male,76,Canada,Toronto,BR-007,Arpand Toronto (Canada),2024-01-03,2,1146.5296228227862,EUR,Credit,8949.522330269814
7760091537,Female,18,France,Paris,BR-002,Arpand Paris (France),2023-07-14,1,1448.3151918554731,USDT,Instant,
9604009374,Male,61,South Africa,Cape Town,BR-003,Arpand Cape Town (South Africa),2024-08-24,1,758.4386606243535,USD,Credit,3221.8845655474106
2837708938,Male,34,Canada,Invalid_City,BR-007,Arpand Toronto (Canada),2024-12-12,0,715.0858258007981,USD,Instant,
8670675689,Male,43,Germany,Berlin,BR-001,Arpand Berlin (Germany),2023-12-14,5,1383.648419353202,EUR,Instant,
5486270040,Male,20,Invalid_Country,Berlin,BR-001,Arpand Berlin (Germany),2024-06-27,3,425.10371125282074,USDT,Instant,
9000227733,Female,28,Germany,Berlin,BR-001,Arpand Berlin (Germany),2023-11-20,3,821.6274871159029,USD,Instant,
706021409,Female,58,Singapore,Invalid_City,BR-004,Arpand Singapore (Singapore),2023-03-07,3,1278.0608992669827,USD,Instant,
7644485704,nan,-10,Singapore,Singapore,BR-004,Arpand Singapore (Singapore),2023-09-02,1,928.5045326462367,GBP,Instant,
3365804287,Female,24,Brazil,Rio de Janeiro,BR-006,Arpand Rio de Janeiro (Brazil),2024-08-13,3,32.71490224947513,USD,Instant,
9406899123,Male,51,Brazil,Rio de Janeiro,BR-006,Arpand Rio de Janeiro (Brazil),2023-06-25,3,1682.2167236601592,USD,Instant,
