EventType,TrafficMultiplier,ABTestGroup,SaleAmountEUR,BranchID
Normal,1.0,Control,1052.8144696384493,BR-007
BlackFriday,1.7,Variation1,769.1694660168403,BR-011
BlackFriday,4.3,Variation1,1083.3459848084221,BR-005
Normal,1.0,Control,1291.03672523656,BR-011
Normal,1.0,Variation2,1341.024295316375,BR-012
Christmas,1.3,Control,1522.9849965350156,BR-005
Valentine,4.5,Control,776.0694796774471,BR-011
Normal,1.0,Control,506.2199049942133,BR-012
Valentine,2.7,Control,2300.1528843844253,BR-004
Valentine,5.0,Control,961.9532063119653,BR-005
Christmas,2.9,Variation2,593.3015132243535,BR-008
Christmas,2.5,Control,1668.4464169829612,BR-012
Normal,1.0,Variation1,-176.5213460014992,BR-007
Normal,1.0,Variation1,1633.19792230333,BR-001
Normal,1.0,Control,1168.8492176150933,BR-017
Valentine,1.7,Variation2,618.2251837844985,BR-006
Normal,1.0,Variation1,935.2294888532638,BR-001
Normal,1.0,Variation2,1221.0128316261246,BR-005
Christmas,3.2,Control,350.4225601992941,BR-017
BlackFriday,1.9,Control,2518.3683551581407,BR-017
Christmas,3.4,Control,639.8593603108118,BR-011
Christmas,2.9,Control,2771.9656156376245,BR-011
Normal,1.0,Variation1,1341.710418091894,BR-008
Normal,1.0,Variation2,493.90367522463623,BR-011
Christmas,3.8,Control,204.19312886901824,BR-001
BlackFriday,4.7,Variation1,2330.1114535553384,BR-015
BlackFriday,4.1,Control,971.28282676879,BR-011
BlackFriday,4.8,Variation1,2255.4167727411455,BR-016
Normal,1.0,Control,707.6794023882414,BR-013
Christmas,2.1,Variation2,279.0339025808854,BR-009
Christmas,4.8,Control,159.1337682418443,BR-011
BlackFriday,2.6,Control,2544.800626244811,BR-007
Normal,1.0,Control,1361.4792910495732,BR-003
Christmas,1.6,Control,994.0726680380108,BR-005
Valentine,3.7,Control,413.4002969105794,BR-014
Normal,1.0,Variation2,518.38320003023,BR-011
Normal,1.0,Variation1,458.76463353114883,BR-005
Valentine,2.7,Control,2215.6634774910412,BR-017
Christmas,4.1,Control,1030.0544187440162,BR-009
Valentine,3.1,Variation2,2029.4751114089481,BR-012
Valentine,2.8,Variation1,1899.3593465427139,BR-007
Christmas,3.9,Control,2287.3923025089025,BR-014
Christmas,4.0,Control,1068.4225800175966,BR-015
Christmas,2.7,Control,1510.1189291306714,BR-011
